"Total","LogProb","PValue","Limited","FDR","empty","barcode"
31515,-40034.3952344355,9.99900009999e-05,TRUE,0,0,"bcDZKU"
26415,-32573.87222455,9.99900009999e-05,TRUE,0,0,"bcCYGU"
26860,-35528.1542229296,9.99900009999e-05,TRUE,0,0,"bcIBOG"
26381,-40366.691844759,9.99900009999e-05,TRUE,0,0,"bcEDCF"
23097,-27660.9127990064,9.99900009999e-05,TRUE,0,0,"bcEONG"
20849,-24464.9838193073,9.99900009999e-05,TRUE,0,0,"bcAHIK"
19306,-24839.5667676045,9.99900009999e-05,TRUE,0,0,"bcGZXC"
20058,-25988.141856329,9.99900009999e-05,TRUE,0,0,"bcHHUP"
20251,-30130.9894468609,9.99900009999e-05,TRUE,0,0,"bcALPI"
18486,-21572.8927323894,9.99900009999e-05,TRUE,0,0,"bcEHIL"
18134,-23361.1220943534,9.99900009999e-05,TRUE,0,0,"bcEIBN"
18597,-22927.1785081556,9.99900009999e-05,TRUE,0,0,"bcIDSV"
19223,-25719.2805254888,9.99900009999e-05,TRUE,0,0,"bcEEMX"
18002,-19684.1739594895,9.99900009999e-05,TRUE,0,0,"bcCPFA"
19377,-28719.6581770592,9.99900009999e-05,TRUE,0,0,"bcCLCA"
19049,-24937.9447740623,9.99900009999e-05,TRUE,0,0,"bcAZJY"
18770,-24099.6448213168,9.99900009999e-05,TRUE,0,0,"bcGEBC"
17218,-26025.2662440954,9.99900009999e-05,TRUE,0,0,"bcIEEU"
17581,-28710.6957758834,9.99900009999e-05,TRUE,0,0,"bcGRXJ"
18086,-27701.7674814498,9.99900009999e-05,TRUE,0,0,"bcEUUG"
17334,-22195.9562875078,9.99900009999e-05,TRUE,0,0,"bcHIYZ"
17292,-25684.9859789172,9.99900009999e-05,TRUE,0,0,"bcAXGK"
16117,-19381.1940396528,9.99900009999e-05,TRUE,0,0,"bcFDMM"
16768,-19422.5232487418,9.99900009999e-05,TRUE,0,0,"bcIJUU"
17287,-27136.0416806723,9.99900009999e-05,TRUE,0,0,"bcAOVF"
15676,-20570.4085743175,9.99900009999e-05,TRUE,0,0,"bcEBYB"
16593,-22293.3596966832,9.99900009999e-05,TRUE,0,0,"bcAOGC"
17086,-25680.4549293236,9.99900009999e-05,TRUE,0,0,"bcGGUE"
15673,-23359.7549322292,9.99900009999e-05,TRUE,0,0,"bcGVWC"
16211,-23653.2477569414,9.99900009999e-05,TRUE,0,0,"bcAWTK"
17103,-23822.4990847251,9.99900009999e-05,TRUE,0,0,"bcGBNO"
16349,-25403.6371277129,9.99900009999e-05,TRUE,0,0,"bcFSXB"
15045,-20480.844604242,9.99900009999e-05,TRUE,0,0,"bcHMKN"
14934,-17676.6322669654,9.99900009999e-05,TRUE,0,0,"bcDOUE"
14195,-13483.532978329,9.99900009999e-05,TRUE,0,0,"bcFSTB"
15929,-24207.7377567558,9.99900009999e-05,TRUE,0,0,"bcEDQI"
15848,-21675.7184555791,9.99900009999e-05,TRUE,0,0,"bcAAVQ"
15328,-22063.1350460315,9.99900009999e-05,TRUE,0,0,"bcHYUN"
14793,-20348.5280652602,9.99900009999e-05,TRUE,0,0,"bcBPJD"
15825,-23850.9782580158,9.99900009999e-05,TRUE,0,0,"bcFJCZ"
14544,-18736.4725518525,9.99900009999e-05,TRUE,0,0,"bcEXXW"
13805,-12955.0723677231,9.99900009999e-05,TRUE,0,0,"bcBBBK"
15558,-21246.6299107867,9.99900009999e-05,TRUE,0,0,"bcFHHO"
14878,-18713.1129332047,9.99900009999e-05,TRUE,0,0,"bcCMWI"
14269,-17144.3191674197,9.99900009999e-05,TRUE,0,0,"bcDPCO"
15002,-20346.8633893936,9.99900009999e-05,TRUE,0,0,"bcCPQY"
13824,-18560.1738425905,9.99900009999e-05,TRUE,0,0,"bcHBJX"
15042,-20624.2211945707,9.99900009999e-05,TRUE,0,0,"bcFLXQ"
14519,-19728.2899289403,9.99900009999e-05,TRUE,0,0,"bcHWDI"
14455,-20923.8370385539,9.99900009999e-05,TRUE,0,0,"bcHWQE"
14733,-18483.8889854095,9.99900009999e-05,TRUE,0,0,"bcFTKE"
14052,-22630.5726038068,9.99900009999e-05,TRUE,0,0,"bcAXNF"
13200,-13946.1577270873,9.99900009999e-05,TRUE,0,0,"bcHPGK"
14287,-20668.8030719267,9.99900009999e-05,TRUE,0,0,"bcIJID"
13762,-19442.2735555061,9.99900009999e-05,TRUE,0,0,"bcBWZM"
13678,-18183.9056150324,9.99900009999e-05,TRUE,0,0,"bcEBHQ"
12958,-17753.5656187564,9.99900009999e-05,TRUE,0,0,"bcDOHM"
13296,-17839.9271047252,9.99900009999e-05,TRUE,0,0,"bcCCTY"
13947,-21849.1867138537,9.99900009999e-05,TRUE,0,0,"bcIDNJ"
13292,-16736.6004961566,9.99900009999e-05,TRUE,0,0,"bcCSGJ"
13270,-23816.5905525256,9.99900009999e-05,TRUE,0,0,"bcIBHQ"
13344,-18212.1933846501,9.99900009999e-05,TRUE,0,0,"bcCJYJ"
12662,-16952.6128779594,9.99900009999e-05,TRUE,0,0,"bcFWNF"
12884,-14699.5532588254,9.99900009999e-05,TRUE,0,0,"bcGYDX"
12358,-13290.1088074964,9.99900009999e-05,TRUE,0,0,"bcAWXM"
12597,-16905.1788952825,9.99900009999e-05,TRUE,0,0,"bcFHGM"
12693,-18368.9696421464,9.99900009999e-05,TRUE,0,0,"bcEMXN"
13518,-21237.2723092873,9.99900009999e-05,TRUE,0,0,"bcHGWI"
13028,-18959.2587023088,9.99900009999e-05,TRUE,0,0,"bcCNCU"
13566,-19823.0676411696,9.99900009999e-05,TRUE,0,0,"bcALEI"
13291,-17525.4718225345,9.99900009999e-05,TRUE,0,0,"bcAYDN"
13241,-17739.6528316118,9.99900009999e-05,TRUE,0,0,"bcCXTJ"
11994,-15901.245043426,9.99900009999e-05,TRUE,0,0,"bcAWNA"
13246,-17452.2312376575,9.99900009999e-05,TRUE,0,0,"bcGMWT"
11624,-13701.4701022403,9.99900009999e-05,TRUE,0,0,"bcGVXP"
12324,-17464.7129635857,9.99900009999e-05,TRUE,0,0,"bcHRUQ"
12459,-17679.8920940754,9.99900009999e-05,TRUE,0,0,"bcCWMX"
12650,-17781.4517447098,9.99900009999e-05,TRUE,0,0,"bcGJWH"
12545,-16838.1919493531,9.99900009999e-05,TRUE,0,0,"bcHCAS"
12004,-17820.0600462557,9.99900009999e-05,TRUE,0,0,"bcDLDW"
11768,-15574.1912951152,9.99900009999e-05,TRUE,0,0,"bcHSST"
12469,-21772.2508355745,9.99900009999e-05,TRUE,0,0,"bcAKEF"
11305,-13658.0603985685,9.99900009999e-05,TRUE,0,0,"bcFZKC"
13043,-18104.7338439563,9.99900009999e-05,TRUE,0,0,"bcHQVC"
12779,-17220.7329409699,9.99900009999e-05,TRUE,0,0,"bcAJIT"
12927,-18956.4412763397,9.99900009999e-05,TRUE,0,0,"bcHJBX"
