"Total","LogProb","PValue","Limited","FDR","empty","barcode"
31515,-40662.3400188695,9.99900009999e-05,TRUE,0,0,"bcDZKU"
26415,-33097.7179013063,9.99900009999e-05,TRUE,0,0,"bcCYGU"
26860,-36087.2706614076,9.99900009999e-05,TRUE,0,0,"bcIBOG"
26381,-40993.5803674242,9.99900009999e-05,TRUE,0,0,"bcEDCF"
23097,-28107.1218356208,9.99900009999e-05,TRUE,0,0,"bcEONG"
20849,-24749.8041686553,9.99900009999e-05,TRUE,0,0,"bcAHIK"
19306,-25221.1780286855,9.99900009999e-05,TRUE,0,0,"bcGZXC"
20058,-26435.1236234045,9.99900009999e-05,TRUE,0,0,"bcHHUP"
20251,-30681.4645973282,9.99900009999e-05,TRUE,0,0,"bcALPI"
18486,-21948.6414609546,9.99900009999e-05,TRUE,0,0,"bcEHIL"
18134,-23678.3433913557,9.99900009999e-05,TRUE,0,0,"bcEIBN"
18597,-23364.1703427208,9.99900009999e-05,TRUE,0,0,"bcIDSV"
19223,-26213.8484441071,9.99900009999e-05,TRUE,0,0,"bcEEMX"
18002,-20033.1567342872,9.99900009999e-05,TRUE,0,0,"bcCPFA"
19377,-29232.8833692191,9.99900009999e-05,TRUE,0,0,"bcCLCA"
19049,-25424.1042145456,9.99900009999e-05,TRUE,0,0,"bcAZJY"
18770,-24539.8919335518,9.99900009999e-05,TRUE,0,0,"bcGEBC"
17218,-26431.1252218747,9.99900009999e-05,TRUE,0,0,"bcIEEU"
17581,-29140.4205621231,9.99900009999e-05,TRUE,0,0,"bcGRXJ"
18086,-28162.5355672329,9.99900009999e-05,TRUE,0,0,"bcEUUG"
17334,-22565.4221692916,9.99900009999e-05,TRUE,0,0,"bcHIYZ"
17292,-26124.2961725028,9.99900009999e-05,TRUE,0,0,"bcAXGK"
16117,-19679.781048665,9.99900009999e-05,TRUE,0,0,"bcFDMM"
16768,-19713.0589086243,9.99900009999e-05,TRUE,0,0,"bcIJUU"
17287,-27621.8755703347,9.99900009999e-05,TRUE,0,0,"bcAOVF"
15676,-20848.1500718291,9.99900009999e-05,TRUE,0,0,"bcEBYB"
16593,-22634.0416177568,9.99900009999e-05,TRUE,0,0,"bcAOGC"
17086,-26147.0220718066,9.99900009999e-05,TRUE,0,0,"bcGGUE"
15673,-23687.2500567306,9.99900009999e-05,TRUE,0,0,"bcGVWC"
16211,-23997.2876999765,9.99900009999e-05,TRUE,0,0,"bcAWTK"
17103,-24276.8497807162,9.99900009999e-05,TRUE,0,0,"bcGBNO"
16349,-25776.2119350805,9.99900009999e-05,TRUE,0,0,"bcFSXB"
15045,-20754.1653997144,9.99900009999e-05,TRUE,0,0,"bcHMKN"
14934,-17951.5044787557,9.99900009999e-05,TRUE,0,0,"bcDOUE"
14195,-13584.4634145976,9.99900009999e-05,TRUE,0,0,"bcFSTB"
15929,-24679.817610718,9.99900009999e-05,TRUE,0,0,"bcEDQI"
15848,-22035.0339370367,9.99900009999e-05,TRUE,0,0,"bcAAVQ"
15328,-22438.3766291101,9.99900009999e-05,TRUE,0,0,"bcHYUN"
14793,-20626.1125207147,9.99900009999e-05,TRUE,0,0,"bcBPJD"
15825,-24297.3528240474,9.99900009999e-05,TRUE,0,0,"bcFJCZ"
14544,-19052.5820357177,9.99900009999e-05,TRUE,0,0,"bcEXXW"
13805,-13001.2499785806,9.99900009999e-05,TRUE,0,0,"bcBBBK"
15558,-21674.8239804194,9.99900009999e-05,TRUE,0,0,"bcFHHO"
14878,-19051.6577032947,9.99900009999e-05,TRUE,0,0,"bcCMWI"
14269,-17366.8584395329,9.99900009999e-05,TRUE,0,0,"bcDPCO"
15002,-20740.6342310579,9.99900009999e-05,TRUE,0,0,"bcCPQY"
13824,-18823.88787573,9.99900009999e-05,TRUE,0,0,"bcHBJX"
15042,-21067.4772889096,9.99900009999e-05,TRUE,0,0,"bcFLXQ"
14519,-20087.8123825359,9.99900009999e-05,TRUE,0,0,"bcHWDI"
14455,-21275.2550780489,9.99900009999e-05,TRUE,0,0,"bcHWQE"
14733,-18791.2707152151,9.99900009999e-05,TRUE,0,0,"bcFTKE"
14052,-23008.8713581553,9.99900009999e-05,TRUE,0,0,"bcAXNF"
13200,-14113.5957771363,9.99900009999e-05,TRUE,0,0,"bcHPGK"
14287,-21060.1428328213,9.99900009999e-05,TRUE,0,0,"bcIJID"
13762,-19811.4957910686,9.99900009999e-05,TRUE,0,0,"bcBWZM"
13678,-18470.3668807218,9.99900009999e-05,TRUE,0,0,"bcEBHQ"
12958,-17993.1698782577,9.99900009999e-05,TRUE,0,0,"bcDOHM"
13296,-18092.9444971945,9.99900009999e-05,TRUE,0,0,"bcCCTY"
13947,-22219.173550464,9.99900009999e-05,TRUE,0,0,"bcIDNJ"
13292,-16965.0984102344,9.99900009999e-05,TRUE,0,0,"bcCSGJ"
13270,-24202.3706342538,9.99900009999e-05,TRUE,0,0,"bcIBHQ"
13344,-18524.956357455,9.99900009999e-05,TRUE,0,0,"bcCJYJ"
12662,-17132.6489931866,9.99900009999e-05,TRUE,0,0,"bcFWNF"
12884,-14917.7274064171,9.99900009999e-05,TRUE,0,0,"bcGYDX"
12358,-13440.0298740054,9.99900009999e-05,TRUE,0,0,"bcAWXM"
12597,-17122.0022718736,9.99900009999e-05,TRUE,0,0,"bcFHGM"
12693,-18558.0044208327,9.99900009999e-05,TRUE,0,0,"bcEMXN"
13518,-21648.32155654,9.99900009999e-05,TRUE,0,0,"bcHGWI"
13028,-19258.9072577984,9.99900009999e-05,TRUE,0,0,"bcCNCU"
13566,-20208.4497679525,9.99900009999e-05,TRUE,0,0,"bcALEI"
13291,-17801.7113318697,9.99900009999e-05,TRUE,0,0,"bcAYDN"
13241,-18112.1702210289,9.99900009999e-05,TRUE,0,0,"bcCXTJ"
11994,-16107.9710240335,9.99900009999e-05,TRUE,0,0,"bcAWNA"
13246,-17821.4108238648,9.99900009999e-05,TRUE,0,0,"bcGMWT"
11624,-13815.07517929,9.99900009999e-05,TRUE,0,0,"bcGVXP"
12324,-17736.6860426589,9.99900009999e-05,TRUE,0,0,"bcHRUQ"
12459,-17932.2082136631,9.99900009999e-05,TRUE,0,0,"bcCWMX"
12650,-18093.0772398376,9.99900009999e-05,TRUE,0,0,"bcGJWH"
12545,-17149.3718236464,9.99900009999e-05,TRUE,0,0,"bcHCAS"
12004,-17995.9304774029,9.99900009999e-05,TRUE,0,0,"bcDLDW"
11768,-15751.8576128506,9.99900009999e-05,TRUE,0,0,"bcHSST"
12469,-22141.2791407403,9.99900009999e-05,TRUE,0,0,"bcAKEF"
11305,-13848.5624627845,9.99900009999e-05,TRUE,0,0,"bcFZKC"
13043,-18478.8652951419,9.99900009999e-05,TRUE,0,0,"bcHQVC"
12779,-17466.2864424538,9.99900009999e-05,TRUE,0,0,"bcAJIT"
12927,-19341.3232716302,9.99900009999e-05,TRUE,0,0,"bcHJBX"
11856,-17645.0644502339,9.99900009999e-05,TRUE,0,0,"bcHUQH"
11497,-13970.9696768746,9.99900009999e-05,TRUE,0,0,"bcEEBA"
12300,-19083.5351830673,9.99900009999e-05,TRUE,0,0,"bcBWKD"
11829,-16659.7165308582,9.99900009999e-05,TRUE,0,0,"bcDIEU"
12349,-18366.6457834944,9.99900009999e-05,TRUE,0,0,"bcFODF"
12150,-15731.9160614707,9.99900009999e-05,TRUE,0,0,"bcAMEF"
12174,-15745.5527143628,9.99900009999e-05,TRUE,0,0,"bcEHKH"
11689,-17210.8720137992,9.99900009999e-05,TRUE,0,0,"bcHJDM"
11770,-14274.6664871475,9.99900009999e-05,TRUE,0,0,"bcBSLO"
11670,-15104.4242146544,9.99900009999e-05,TRUE,0,0,"bcGCRY"
12552,-20237.2643024273,9.99900009999e-05,TRUE,0,0,"bcFWEB"
12598,-17629.0660576686,9.99900009999e-05,TRUE,0,0,"bcGWZT"
12468,-18350.2188799147,9.99900009999e-05,TRUE,0,0,"bcBAQH"
12035,-19616.528507547,9.99900009999e-05,TRUE,0,0,"bcEWHU"
11459,-13180.000665916,9.99900009999e-05,TRUE,0,0,"bcBUQN"
11371,-15843.9494977945,9.99900009999e-05,TRUE,0,0,"bcHNNW"
10933,-12835.0470042364,9.99900009999e-05,TRUE,0,0,"bcHBGU"
12117,-18304.2941696467,9.99900009999e-05,TRUE,0,0,"bcGLXN"
12084,-16918.0029953635,9.99900009999e-05,TRUE,0,0,"bcCBQG"
11478,-13551.4664769552,9.99900009999e-05,TRUE,0,0,"bcEEYN"
12276,-18469.2701390081,9.99900009999e-05,TRUE,0,0,"bcHQRQ"
12395,-18731.3217669921,9.99900009999e-05,TRUE,0,0,"bcCLRP"
10746,-16015.3464386281,9.99900009999e-05,TRUE,0,0,"bcAXKJ"
10692,-14461.3700214687,9.99900009999e-05,TRUE,0,0,"bcAHKK"
11050,-17901.5462238892,9.99900009999e-05,TRUE,0,0,"bcFXMS"
10985,-13875.9932954686,9.99900009999e-05,TRUE,0,0,"bcBXXF"
11524,-18904.4914043678,9.99900009999e-05,TRUE,0,0,"bcHPMB"
12002,-18917.1323882546,9.99900009999e-05,TRUE,0,0,"bcFYCM"
12199,-19463.5610195749,9.99900009999e-05,TRUE,0,0,"bcCEBL"
10484,-10871.5276234694,9.99900009999e-05,TRUE,0,0,"bcEFWQ"
11478,-18661.4155451512,9.99900009999e-05,TRUE,0,0,"bcAJVA"
11944,-17767.1244200636,9.99900009999e-05,TRUE,0,0,"bcAZEM"
11611,-15315.5884959344,9.99900009999e-05,TRUE,0,0,"bcDADI"
11783,-16951.1469215736,9.99900009999e-05,TRUE,0,0,"bcBTPA"
11662,-17472.1912984702,9.99900009999e-05,TRUE,0,0,"bcEIQW"
10422,-10527.8027961694,9.99900009999e-05,TRUE,0,0,"bcAKQB"
11924,-17614.8184281636,9.99900009999e-05,TRUE,0,0,"bcFNLU"
10930,-15006.3606570073,9.99900009999e-05,TRUE,0,0,"bcGIXK"
11914,-15116.8411609191,9.99900009999e-05,TRUE,0,0,"bcAUZT"
10850,-15485.295191231,9.99900009999e-05,TRUE,0,0,"bcCKVT"
11165,-16780.6438747032,9.99900009999e-05,TRUE,0,0,"bcHAZS"
11294,-14644.3284106021,9.99900009999e-05,TRUE,0,0,"bcFUGH"
10275,-19432.3580367677,9.99900009999e-05,TRUE,0,0,"bcHPMI"
11481,-17135.328011634,9.99900009999e-05,TRUE,0,0,"bcHOIF"
10506,-13349.2727424072,9.99900009999e-05,TRUE,0,0,"bcFRJK"
10979,-11995.8741187221,9.99900009999e-05,TRUE,0,0,"bcBWVZ"
10767,-15574.0345963011,9.99900009999e-05,TRUE,0,0,"bcAWGE"
10868,-14548.2856699696,9.99900009999e-05,TRUE,0,0,"bcEQZR"
10874,-15634.6470713113,9.99900009999e-05,TRUE,0,0,"bcFWGX"
10596,-13228.0805157481,9.99900009999e-05,TRUE,0,0,"bcCCYH"
10597,-14351.1534704034,9.99900009999e-05,TRUE,0,0,"bcBJTF"
10193,-14224.9216783074,9.99900009999e-05,TRUE,0,0,"bcBJDL"
10682,-16819.1829848802,9.99900009999e-05,TRUE,0,0,"bcHEXU"
11092,-15377.9393501829,9.99900009999e-05,TRUE,0,0,"bcEQZD"
10432,-16662.774717391,9.99900009999e-05,TRUE,0,0,"bcCRCF"
11957,-18857.2568469397,9.99900009999e-05,TRUE,0,0,"bcBLNJ"
11199,-14085.467615469,9.99900009999e-05,TRUE,0,0,"bcCBRJ"
10325,-14257.5372457538,9.99900009999e-05,TRUE,0,0,"bcBUSU"
11990,-18550.6747169334,9.99900009999e-05,TRUE,0,0,"bcDYKX"
11598,-16744.59350268,9.99900009999e-05,TRUE,0,0,"bcIKCK"
10596,-15264.8239504504,9.99900009999e-05,TRUE,0,0,"bcICSE"
11690,-19409.467933019,9.99900009999e-05,TRUE,0,0,"bcIDWG"
11568,-18038.70048208,9.99900009999e-05,TRUE,0,0,"bcFHXF"
11354,-15268.9442033649,9.99900009999e-05,TRUE,0,0,"bcEXUT"
10618,-15053.9955720807,9.99900009999e-05,TRUE,0,0,"bcHWVU"
10961,-16696.6950798772,9.99900009999e-05,TRUE,0,0,"bcHDAB"
9827,-13762.6167939986,9.99900009999e-05,TRUE,0,0,"bcCWKX"
11582,-19595.3922133604,9.99900009999e-05,TRUE,0,0,"bcCGUT"
10380,-14722.3426988201,9.99900009999e-05,TRUE,0,0,"bcDQMZ"
9438,-10778.8747636298,9.99900009999e-05,TRUE,0,0,"bcACLI"
10496,-15743.3024070362,9.99900009999e-05,TRUE,0,0,"bcGGKX"
11210,-18441.9868094975,9.99900009999e-05,TRUE,0,0,"bcEGSX"
10748,-16949.552954043,9.99900009999e-05,TRUE,0,0,"bcCZDT"
11106,-16277.8195165305,9.99900009999e-05,TRUE,0,0,"bcEFJW"
11297,-19258.3011448572,9.99900009999e-05,TRUE,0,0,"bcGVEV"
10912,-15826.7139355511,9.99900009999e-05,TRUE,0,0,"bcHGGA"
10413,-14753.2828719017,9.99900009999e-05,TRUE,0,0,"bcIEYV"
10745,-14959.8235432207,9.99900009999e-05,TRUE,0,0,"bcCAMS"
10121,-17012.2674501728,9.99900009999e-05,TRUE,0,0,"bcFTJB"
