"Total","LogProb","PValue","Limited","FDR","empty","barcode"
31515,-39547.3296442662,9.99900009999e-05,TRUE,0,0,"bcDZKU"
26415,-32206.3920780123,9.99900009999e-05,TRUE,0,0,"bcCYGU"
26860,-35118.0871202642,9.99900009999e-05,TRUE,0,0,"bcIBOG"
26381,-39840.5345037529,9.99900009999e-05,TRUE,0,0,"bcEDCF"
23097,-27322.9654454821,9.99900009999e-05,TRUE,0,0,"bcEONG"
20849,-24241.7587587039,9.99900009999e-05,TRUE,0,0,"bcAHIK"
19306,-24538.1896424091,9.99900009999e-05,TRUE,0,0,"bcGZXC"
20058,-25658.7165605253,9.99900009999e-05,TRUE,0,0,"bcHHUP"
20251,-29735.0566286195,9.99900009999e-05,TRUE,0,0,"bcALPI"
18486,-21323.4794532991,9.99900009999e-05,TRUE,0,0,"bcEHIL"
18134,-23150.0307305909,9.99900009999e-05,TRUE,0,0,"bcEIBN"
18597,-22628.465756771,9.99900009999e-05,TRUE,0,0,"bcIDSV"
19223,-25386.8490452319,9.99900009999e-05,TRUE,0,0,"bcEEMX"
18002,-19446.4881233769,9.99900009999e-05,TRUE,0,0,"bcCPFA"
19377,-28320.7205755642,9.99900009999e-05,TRUE,0,0,"bcCLCA"
19049,-24602.413006572,9.99900009999e-05,TRUE,0,0,"bcAZJY"
18770,-23776.7478020725,9.99900009999e-05,TRUE,0,0,"bcGEBC"
17218,-25717.7126981389,9.99900009999e-05,TRUE,0,0,"bcIEEU"
17581,-28354.3940793694,9.99900009999e-05,TRUE,0,0,"bcGRXJ"
18086,-27347.483278138,9.99900009999e-05,TRUE,0,0,"bcEUUG"
17334,-21940.2297365182,9.99900009999e-05,TRUE,0,0,"bcHIYZ"
17292,-25372.051949066,9.99900009999e-05,TRUE,0,0,"bcAXGK"
16117,-19184.4707453408,9.99900009999e-05,TRUE,0,0,"bcFDMM"
16768,-19222.4557028922,9.99900009999e-05,TRUE,0,0,"bcIJUU"
17287,-26780.9958894301,9.99900009999e-05,TRUE,0,0,"bcAOVF"
15676,-20368.3856850352,9.99900009999e-05,TRUE,0,0,"bcEBYB"
16593,-22038.6840665602,9.99900009999e-05,TRUE,0,0,"bcAOGC"
17086,-25355.0256913642,9.99900009999e-05,TRUE,0,0,"bcGGUE"
15673,-23098.2430488952,9.99900009999e-05,TRUE,0,0,"bcGVWC"
16211,-23376.8653999871,9.99900009999e-05,TRUE,0,0,"bcAWTK"
17103,-23499.2246038461,9.99900009999e-05,TRUE,0,0,"bcGBNO"
16349,-25114.467483143,9.99900009999e-05,TRUE,0,0,"bcFSXB"
15045,-20279.7506567489,9.99900009999e-05,TRUE,0,0,"bcHMKN"
14934,-17502.9906003001,9.99900009999e-05,TRUE,0,0,"bcDOUE"
14195,-13418.8289826532,9.99900009999e-05,TRUE,0,0,"bcFSTB"
15929,-23881.0368630655,9.99900009999e-05,TRUE,0,0,"bcEDQI"
15848,-21404.8206022913,9.99900009999e-05,TRUE,0,0,"bcAAVQ"
15328,-21814.3900770869,9.99900009999e-05,TRUE,0,0,"bcHYUN"
14793,-20136.5446249745,9.99900009999e-05,TRUE,0,0,"bcBPJD"
15825,-23537.6876372837,9.99900009999e-05,TRUE,0,0,"bcFJCZ"
14544,-18503.1974810245,9.99900009999e-05,TRUE,0,0,"bcEXXW"
13805,-12911.1583645742,9.99900009999e-05,TRUE,0,0,"bcBBBK"
15558,-20966.6924970513,9.99900009999e-05,TRUE,0,0,"bcFHHO"
14878,-18471.4240543909,9.99900009999e-05,TRUE,0,0,"bcCMWI"
14269,-16993.7534800492,9.99900009999e-05,TRUE,0,0,"bcDPCO"
15002,-20083.4541069086,9.99900009999e-05,TRUE,0,0,"bcCPQY"
13824,-18388.6666813628,9.99900009999e-05,TRUE,0,0,"bcHBJX"
15042,-20314.4679431038,9.99900009999e-05,TRUE,0,0,"bcFLXQ"
14519,-19478.7575599527,9.99900009999e-05,TRUE,0,0,"bcHWDI"
14455,-20650.7026648731,9.99900009999e-05,TRUE,0,0,"bcHWQE"
14733,-18259.2008027356,9.99900009999e-05,TRUE,0,0,"bcFTKE"
14052,-22348.5506846975,9.99900009999e-05,TRUE,0,0,"bcAXNF"
13200,-13843.0324160719,9.99900009999e-05,TRUE,0,0,"bcHPGK"
14287,-20391.4594595555,9.99900009999e-05,TRUE,0,0,"bcIJID"
13762,-19188.0658934348,9.99900009999e-05,TRUE,0,0,"bcBWZM"
13678,-17983.9781815357,9.99900009999e-05,TRUE,0,0,"bcEBHQ"
12958,-17582.8883213897,9.99900009999e-05,TRUE,0,0,"bcDOHM"
13296,-17647.0949034046,9.99900009999e-05,TRUE,0,0,"bcCCTY"
13947,-21558.6155223217,9.99900009999e-05,TRUE,0,0,"bcIDNJ"
13292,-16542.7761781891,9.99900009999e-05,TRUE,0,0,"bcCSGJ"
13270,-23550.9999419137,9.99900009999e-05,TRUE,0,0,"bcIBHQ"
13344,-18009.6312188015,9.99900009999e-05,TRUE,0,0,"bcCJYJ"
12662,-16806.9901505567,9.99900009999e-05,TRUE,0,0,"bcFWNF"
12884,-14556.6154284682,9.99900009999e-05,TRUE,0,0,"bcGYDX"
12358,-13174.9069899121,9.99900009999e-05,TRUE,0,0,"bcAWXM"
12597,-16725.0597388447,9.99900009999e-05,TRUE,0,0,"bcFHGM"
12693,-18213.0866680923,9.99900009999e-05,TRUE,0,0,"bcEMXN"
13518,-20922.2796375174,9.99900009999e-05,TRUE,0,0,"bcHGWI"
13028,-18735.6214771527,9.99900009999e-05,TRUE,0,0,"bcCNCU"
13566,-19565.8875530666,9.99900009999e-05,TRUE,0,0,"bcALEI"
13291,-17319.7180847853,9.99900009999e-05,TRUE,0,0,"bcAYDN"
13241,-17494.891490419,9.99900009999e-05,TRUE,0,0,"bcCXTJ"
11994,-15767.1676651581,9.99900009999e-05,TRUE,0,0,"bcAWNA"
13246,-17199.145883937,9.99900009999e-05,TRUE,0,0,"bcGMWT"
11624,-13628.9255938533,9.99900009999e-05,TRUE,0,0,"bcGVXP"
12324,-17264.3362711359,9.99900009999e-05,TRUE,0,0,"bcHRUQ"
12459,-17498.9720584312,9.99900009999e-05,TRUE,0,0,"bcCWMX"
12650,-17563.9765291732,9.99900009999e-05,TRUE,0,0,"bcGJWH"
12545,-16639.2793132037,9.99900009999e-05,TRUE,0,0,"bcHCAS"
12004,-17668.1530526821,9.99900009999e-05,TRUE,0,0,"bcDLDW"
11768,-15407.0786038844,9.99900009999e-05,TRUE,0,0,"bcHSST"
12469,-21510.4063144876,9.99900009999e-05,TRUE,0,0,"bcAKEF"
11305,-13526.9283496569,9.99900009999e-05,TRUE,0,0,"bcFZKC"
13043,-17846.1889049011,9.99900009999e-05,TRUE,0,0,"bcHQVC"
12779,-17035.5828955544,9.99900009999e-05,TRUE,0,0,"bcAJIT"
12927,-18692.1930273183,9.99900009999e-05,TRUE,0,0,"bcHJBX"
11856,-17204.4083080345,9.99900009999e-05,TRUE,0,0,"bcHUQH"
11497,-13690.1084812563,9.99900009999e-05,TRUE,0,0,"bcEEBA"
12300,-18513.0101350023,9.99900009999e-05,TRUE,0,0,"bcBWKD"
11829,-16373.8314494669,9.99900009999e-05,TRUE,0,0,"bcDIEU"
12349,-17921.7157894113,9.99900009999e-05,TRUE,0,0,"bcFODF"
12150,-15297.5804517376,9.99900009999e-05,TRUE,0,0,"bcAMEF"
12174,-15360.7605594106,9.99900009999e-05,TRUE,0,0,"bcEHKH"
11689,-16760.0100429809,9.99900009999e-05,TRUE,0,0,"bcHJDM"
11770,-13980.9363973314,9.99900009999e-05,TRUE,0,0,"bcBSLO"
11670,-14798.8482643065,9.99900009999e-05,TRUE,0,0,"bcGCRY"
12552,-19554.9375715452,9.99900009999e-05,TRUE,0,0,"bcFWEB"
12598,-17089.3059670225,9.99900009999e-05,TRUE,0,0,"bcGWZT"
12468,-17868.7626039397,9.99900009999e-05,TRUE,0,0,"bcBAQH"
12035,-19027.9008937764,9.99900009999e-05,TRUE,0,0,"bcEWHU"
11459,-12937.4113587893,9.99900009999e-05,TRUE,0,0,"bcBUQN"
11371,-15486.3113017691,9.99900009999e-05,TRUE,0,0,"bcHNNW"
10933,-12609.5986809337,9.99900009999e-05,TRUE,0,0,"bcHBGU"
12117,-17745.5960860837,9.99900009999e-05,TRUE,0,0,"bcGLXN"
12084,-16429.6712666209,9.99900009999e-05,TRUE,0,0,"bcCBQG"
11478,-13198.4249591908,9.99900009999e-05,TRUE,0,0,"bcEEYN"
12276,-17873.2281868208,9.99900009999e-05,TRUE,0,0,"bcHQRQ"
12395,-18098.4094335911,9.99900009999e-05,TRUE,0,0,"bcCLRP"
10746,-15655.6786571426,9.99900009999e-05,TRUE,0,0,"bcAXKJ"
10692,-14177.5424456291,9.99900009999e-05,TRUE,0,0,"bcAHKK"
11050,-17495.4085506328,9.99900009999e-05,TRUE,0,0,"bcFXMS"
10985,-13589.110595352,9.99900009999e-05,TRUE,0,0,"bcBXXF"
11524,-18255.4909768626,9.99900009999e-05,TRUE,0,0,"bcHPMB"
12002,-18243.982344101,9.99900009999e-05,TRUE,0,0,"bcFYCM"
12199,-18859.7480012958,9.99900009999e-05,TRUE,0,0,"bcCEBL"
10484,-10781.0362277079,9.99900009999e-05,TRUE,0,0,"bcEFWQ"
11478,-18078.7669359261,9.99900009999e-05,TRUE,0,0,"bcAJVA"
11944,-17179.7393246911,9.99900009999e-05,TRUE,0,0,"bcAZEM"
11611,-14867.457250067,9.99900009999e-05,TRUE,0,0,"bcDADI"
11783,-16430.4594934349,9.99900009999e-05,TRUE,0,0,"bcBTPA"
11662,-16883.2036673248,9.99900009999e-05,TRUE,0,0,"bcEIQW"
10422,-10412.318975633,9.99900009999e-05,TRUE,0,0,"bcAKQB"
11924,-17016.1021160552,9.99900009999e-05,TRUE,0,0,"bcFNLU"
10930,-14646.5845215198,9.99900009999e-05,TRUE,0,0,"bcGIXK"
11914,-14659.9315810793,9.99900009999e-05,TRUE,0,0,"bcAUZT"
10850,-15110.5210304662,9.99900009999e-05,TRUE,0,0,"bcCKVT"
11165,-16209.5063022101,9.99900009999e-05,TRUE,0,0,"bcHAZS"
11294,-14233.28001999,9.99900009999e-05,TRUE,0,0,"bcFUGH"
10275,-18963.9831808663,9.99900009999e-05,TRUE,0,0,"bcHPMI"
11481,-16612.3215073386,9.99900009999e-05,TRUE,0,0,"bcHOIF"
10506,-13045.2334791115,9.99900009999e-05,TRUE,0,0,"bcFRJK"
10979,-11704.6203003907,9.99900009999e-05,TRUE,0,0,"bcBWVZ"
10767,-15212.0444653086,9.99900009999e-05,TRUE,0,0,"bcAWGE"
10868,-14180.0664565624,9.99900009999e-05,TRUE,0,0,"bcEQZR"
10874,-15235.6347450464,9.99900009999e-05,TRUE,0,0,"bcFWGX"
10596,-13016.9359481524,9.99900009999e-05,TRUE,0,0,"bcCCYH"
10597,-13965.4788912517,9.99900009999e-05,TRUE,0,0,"bcBJTF"
10193,-13983.1828156728,9.99900009999e-05,TRUE,0,0,"bcBJDL"
10682,-16282.9250741368,9.99900009999e-05,TRUE,0,0,"bcHEXU"
11092,-14932.2249498387,9.99900009999e-05,TRUE,0,0,"bcEQZD"
10432,-16239.3774243316,9.99900009999e-05,TRUE,0,0,"bcCRCF"
11957,-18205.2099631974,9.99900009999e-05,TRUE,0,0,"bcBLNJ"
11199,-13647.4715844835,9.99900009999e-05,TRUE,0,0,"bcCBRJ"
10325,-13927.6293599422,9.99900009999e-05,TRUE,0,0,"bcBUSU"
11990,-17907.1503750402,9.99900009999e-05,TRUE,0,0,"bcDYKX"
11598,-16164.1271144476,9.99900009999e-05,TRUE,0,0,"bcIKCK"
10596,-14894.383881024,9.99900009999e-05,TRUE,0,0,"bcICSE"
11690,-18758.7398698036,9.99900009999e-05,TRUE,0,0,"bcIDWG"
11568,-17389.6883115768,9.99900009999e-05,TRUE,0,0,"bcFHXF"
11354,-14777.7333477873,9.99900009999e-05,TRUE,0,0,"bcEXUT"
10618,-14719.7944947581,9.99900009999e-05,TRUE,0,0,"bcHWVU"
10961,-16262.8332179048,9.99900009999e-05,TRUE,0,0,"bcHDAB"
9827,-13412.1116974976,9.99900009999e-05,TRUE,0,0,"bcCWKX"
